trail_id,user_id,score
1646,1243,1
4594,7551,3
2924,6068,9
3395,7779,10
9995,4238,2
8852,4561,8
4554,3649,7
9654,4078,5
2019,3795,5
5417,8308,9
2951,7497,1
5613,1733,5
1213,3470,8
9120,8469,9
4718,99,8
538,4689,2
9136,5311,5
2193,692,10
9628,6286,3
527,7011,3
5990,2842,7
2725,515,7
6355,9580,9
9249,5450,6
6288,3911,6
491,9454,4
8061,3692,10
7720,4018,3
4724,9462,2
4464,7699,9
8198,3632,2
3016,142,5
8977,6336,6
1190,1093,2
4144,3060,2
4943,2394,4
7377,3350,1
7254,7725,7
6780,1962,8
9567,143,3
4769,6847,5
6188,2152,1
8971,1685,9
7577,3744,10
2943,37,9
7510,8427,5
1809,6752,10
5049,2444,5
4460,2871,6
587,1704,4
2857,8502,6
2136,1660,7
5360,4705,8
1233,72,5
5861,7977,2
7533,3826,1
8139,3243,6
8057,803,3
5838,4747,10
8888,6360,1
3262,2214,9
9808,396,7
8624,1573,1
352,225,4
6217,6431,9
7035,7627,3
8520,8821,8
6644,5883,3
8542,8147,5
5321,7268,5
7558,427,4
5765,8088,4
5529,969,6
4153,466,10
4373,5768,8
1778,9549,4
6701,2361,2
8382,8330,3
923,8936,5
5609,7411,8
7181,15,9
8763,3983,8
1593,3775,5
2909,3429,4
9856,3010,10
4886,5018,2
9547,7798,5
2724,7051,8
6167,4426,1
486,8048,9
9902,8663,2
846,7635,5
2866,1527,7
6968,8022,9
3923,6955,8
6113,9766,10
5661,9793,5
1550,1047,2
6683,3866,8
7158,6050,6
4639,9384,9
5537,6101,3
58,5786,7
4412,348,3
3300,1406,7
1049,7139,7
2594,1232,4
6871,4883,3
8406,165,9
4237,7684,7
3593,298,2
1798,8424,1
8633,8944,4
3583,7012,10
1490,823,4
1414,9983,4
8020,8155,8
1714,3489,8
3969,6688,8
8185,24,5
8190,869,10
9923,1613,1
2840,4568,3
2834,376,8
4679,8063,4
9003,8227,3
451,1198,10
4169,5374,1
9456,2345,9
9449,7703,1
420,9046,7
6702,5048,9
8542,9960,10
302,4604,5
5862,6732,9
526,5406,4
7959,6701,9
4406,8563,7
7396,3795,6
9788,6479,3
6352,7380,1
8659,294,9
6202,4081,1
5604,7932,1
5506,8908,3
8425,6117,7
7990,753,3
9633,4849,5
7140,8712,4
4045,7389,5
8745,446,1
7757,592,8
8352,8729,8
4022,2159,8
4574,9813,6
4759,5810,6
5246,2099,9
5901,5435,1
9649,9274,6
2806,1333,6
3978,357,5
5480,6062,10
6442,3260,9
3803,4972,9
7917,9175,2
7724,2434,4
9356,8341,9
9933,2151,2
5322,3948,2
4077,6867,4
5283,5384,6
1143,7970,4
3852,2047,2
9978,5563,10
1368,3349,2
8963,3092,1
2276,9540,8
3504,2853,9
4557,1009,6
9763,8211,1
6405,6685,6
2354,3753,8
6878,4868,8
5473,5463,9
8782,1396,1
8354,9456,7
6291,9546,2
7931,1709,3
6166,4698,8
3302,6078,4
4548,9427,9
8343,804,3
6619,6092,10
927,2496,8
7889,3404,6
9660,9397,9
6093,1855,8
7722,5158,8
4102,6626,6
780,1923,5
7300,6028,2
4461,467,8
9347,3364,9
5583,4513,10
8604,2548,5
804,534,7
7922,9827,6
3468,2679,4
3888,9422,3
3576,427,8
6175,4549,5
2657,5396,4
7809,5082,9
7534,9569,7
1444,5051,7
2559,1188,1
6064,38,4
7586,2748,1
5807,1173,8
4735,2589,6
9164,856,9
8057,4307,5
4839,2081,8
7251,5667,1
5656,8821,7
1521,6898,1
226,3432,10
6032,4871,2
609,7690,4
6103,3716,1
8987,3405,2
270,2309,10
3654,7712,9
3000,2594,6
9787,5679,6
4789,8675,5
1691,4347,8
6861,5817,7
8372,9365,10
6796,8197,7
8367,9096,5
4220,4698,4
1826,8479,5
5432,2388,1
7464,195,5
1418,7777,4
6932,8530,7
7722,7970,3
2347,5341,3
5415,4202,2
6653,5194,8
6583,7613,2
6712,8819,9
7670,6041,4
6368,9538,5
5302,4493,1
5672,557,3
4137,8640,9
8939,2687,2
2895,2296,2
5555,3435,1
3586,1655,3
8532,7092,7
8681,2214,9
8242,3466,5
267,9623,6
1801,3178,1
3108,1489,10
7639,4018,8
4071,5507,10
4673,1042,1
4784,3428,3
419,632,10
8383,9302,1
8647,748,7
1487,5238,4
295,5526,4
4243,2667,5
2773,276,4
6289,5001,3
6731,2329,7
9453,9105,5
3286,507,5
4837,8421,10
229,5748,7
6416,962,5
6334,5756,9
5534,8662,1
970,7294,3
4834,8453,6
6303,113,10
7272,4445,6
7697,871,9
923,6181,6
3462,3030,4
5428,291,6
7124,7305,1
2602,549,4
9118,9610,3
6843,2553,3
386,4383,4
3082,352,4
6688,9968,1
920,6497,6
7787,3633,2
9272,356,7
5475,2461,1
9417,9450,4
4138,8497,8
1878,2710,9
760,2407,2
9602,2130,3
5728,3037,3
4462,4962,3
8377,6956,8
5705,3141,7
7532,9241,8
207,8235,8
1564,7372,3
3524,4994,2
8129,2930,9
2257,6923,3
7853,6334,9
6779,2321,10
8591,7364,7
2284,9994,4
9279,8713,4
7403,3611,8
7442,9509,6
2135,1793,7
6742,1204,1
2376,9974,9
5678,735,10
6645,6250,3
9895,9496,10
8002,9764,1
5499,5083,1
6880,9481,1
5953,2426,4
5756,3365,8
9772,1770,9
930,9599,5
142,7316,2
5350,7086,2
604,2922,8
4177,3050,7
9634,1855,8
5433,2283,6
606,6930,7
247,2530,10
2923,1608,4
2236,7026,10
2762,6164,1
5822,3947,10
3241,3366,10
5165,7615,9
3268,9979,9
7389,7987,10
3847,603,6
9090,2787,10
4158,3833,5
9487,8780,9
1745,4157,2
2302,5268,5
5229,1426,5
5826,8984,8
7519,2242,4
1071,4612,8
1289,3429,8
5439,5064,1
575,959,8
6193,1355,9
337,5132,4
3145,7308,3
2037,1329,4
7748,3343,8
7840,97,3
7269,3209,6
3323,1012,3
1937,5098,4
5465,8933,9
8777,7620,2
359,2260,4
7444,7126,4
1632,6452,8
3539,158,5
3782,4173,5
2292,46,6
4878,9378,7
4100,9471,9
1873,5802,3
5940,589,4
8826,2699,9
8842,2605,2
2695,3107,4
1722,5647,1
5639,1098,10
88,5375,5
5338,5378,9
7355,5046,7
9785,543,10
4759,976,5
675,1093,3
355,6351,7
44,703,5
8671,7392,7
3149,7597,8
9089,1021,6
9281,3685,2
7223,8365,6
251,6965,9
2306,2696,7
3990,3461,8
5819,7872,8
4204,5468,2
7134,3195,2
1029,7900,2
9541,5477,8
3022,3858,4
6083,9574,1
4811,2200,7
5808,5113,8
4359,3298,8
729,5014,1
7602,3435,4
3928,1728,5
8843,3797,9
9253,8341,3
3277,963,6
6298,8817,5
3784,8508,8
5929,693,10
1289,7873,10
2003,8983,3
8895,9835,10
5357,6964,10
3455,1763,8
9168,5360,4
6473,3265,2
972,7361,1
4634,3395,10
6548,6275,4
3339,6056,9
8722,9112,10
6222,3524,6
7222,8438,8
720,8137,7
5537,668,5
4376,7394,2
8056,3888,6
6606,5445,10
3059,8214,6
5051,4563,3
7828,8933,10
1601,1493,3
9683,91,1
629,9710,1
527,2828,10
6022,1688,2
7281,3092,7
4622,1249,7
6802,8834,5
1384,9762,6
6519,7195,8
9767,9547,7
9052,992,3
3887,5815,1
2192,2669,10
7016,5020,6
4694,276,7
3290,6883,3
1719,8133,3
9498,5794,1
4040,7205,10
5838,6756,3
6937,7325,3
7235,8081,3
4407,7346,8
1607,327,7
7500,4499,3
243,3805,1
8346,6038,6
1933,4923,6
7904,4702,4
2664,1948,5
4124,7757,10
7339,3248,6
8507,7122,1
3250,8480,2
9755,5170,8
8926,8789,5
5717,3361,3
4028,557,4
456,9854,3
1338,6977,7
8287,2720,5
6987,5948,10
4983,8273,5
5579,5058,1
1947,9466,1
5847,5382,1
7358,6417,7
4889,8530,2
3037,2893,4
4337,3384,6
817,6530,7
3846,7150,1
9672,6251,6
2945,2575,10
8502,3406,2
6283,3098,10
2797,9656,4
9103,7533,5
14,4569,10
9575,6793,4
709,7530,2
6647,7184,8
4555,4130,10
2258,7628,5
2503,1225,7
2004,1939,10
7141,6904,9
9310,1471,2
4476,9815,1
2955,4261,9
6423,41,5
2789,6529,5
2118,8667,2
1897,3193,9
8032,743,8
2094,9538,3
3451,5715,9
7565,6315,4
9193,7735,1
9778,9410,2
5310,7440,6
4186,128,7
5205,9660,4
4686,817,7
2959,91,2
8939,7705,10
9242,8815,9
5055,4952,8
3214,5783,3
4237,8858,9
3657,3047,3
754,9405,7
5436,3475,3
9,4301,1
769,7842,3
1721,8755,8
2443,6219,10
8942,2105,1
5194,6781,10
7368,4951,1
6366,2577,3
7563,7049,5
4410,6982,3
9498,7739,9
200,4100,1
8604,5440,1
2881,4170,6
8383,3729,7
4831,1661,1
4357,4112,2
1151,3652,10
3391,1928,2
9670,548,4
4782,4573,4
9837,9128,10
3191,3606,8
8122,8062,7
9780,1446,2
795,5847,7
4936,7613,6
2191,6227,10
5271,3779,3
1752,3771,3
6962,2494,3
152,5378,2
1001,5470,10
8609,7804,7
8170,9034,5
1879,103,8
6292,5578,7
6700,4825,7
1535,6698,2
2938,6949,7
5136,682,8
3688,5757,8
9889,6634,4
855,7283,6
7244,498,6
9272,5128,3
1749,2600,10
386,7162,4
7910,8415,8
4636,3783,4
9236,5505,5
2967,2580,6
521,559,1
7045,4780,4
2417,7427,1
8113,7570,9
2222,628,2
8307,4238,9
3450,4169,2
1280,5678,4
65,9906,5
8756,6334,7
927,6411,3
4125,7709,6
7574,8734,3
8238,1001,3
2008,6732,7
1839,8704,9
9461,2904,2
2356,1637,10
9178,2329,2
9729,5115,8
8590,7600,7
8422,9210,9
4065,5018,6
3826,3310,1
7403,8284,8
5606,6593,1
6531,3189,3
7296,3878,1
1995,8515,7
8547,7935,6
305,2287,1
2965,1863,8
7021,6110,5
7816,3265,8
1174,7640,10
9749,4043,10
6792,9998,2
552,6036,4
1419,6519,9
2750,8164,5
4632,653,6
4240,254,7
8100,8217,8
1198,5200,5
2205,5910,6
5115,5282,6
98,1383,6
8374,3111,1
2436,7087,2
6083,7753,7
8496,4573,4
7203,6062,1
4468,8720,3
5868,1092,10
1490,8208,6
4572,9823,6
669,2366,5
5780,8449,1
8081,6929,8
873,1243,4
9622,6012,7
7058,7434,7
4715,5937,7
9984,7035,5
7782,8171,9
4885,1105,8
2718,2454,6
4665,2096,10
61,4486,1
7060,4405,10
7867,8989,8
4551,4807,6
8753,2838,3
9459,8209,6
8578,3661,1
3286,129,1
8338,1461,5
2865,4349,9
9171,3448,9
2283,1231,10
5743,2964,4
7585,8498,4
6305,3209,8
3457,2645,1
2887,6146,5
4714,1072,4
7574,6738,7
8255,957,1
7476,6295,4
7907,7685,6
3671,9015,4
1574,2058,9
888,5445,8
4931,3151,7
7941,8362,10
4982,5274,8
6029,8406,5
8500,916,9
2787,1520,9
4944,6547,2
3893,8389,1
4111,3623,10
8172,9861,10
8122,1086,1
3321,3019,3
8506,1999,7
7796,5486,4
4731,8771,2
5092,9862,10
8047,4065,7
5990,1967,9
1059,8254,2
9687,7951,5
3470,2009,8
7528,8610,10
7838,1675,1
6976,3928,10
8036,2706,6
2971,1564,9
2418,5879,8
7934,501,6
4170,1942,7
5191,1078,6
1644,8777,4
4162,6657,2
3731,404,8
1361,3002,6
8915,7535,6
986,3834,1
8742,4303,10
6056,1148,3
3888,8878,7
5383,7788,8
8700,2362,1
2261,1905,8
5465,9044,8
8023,3251,5
6658,9045,8
7528,2614,2
3237,7426,10
3293,1025,10
8351,2653,2
7881,6531,3
5838,6823,1
5953,2388,1
7439,5382,5
956,8526,10
1569,3522,3
9883,2277,4
3328,9556,5
5351,8919,3
4500,1866,4
9067,9957,9
6372,9058,10
6744,3872,2
6102,2488,5
3653,8217,6
7250,6306,1
8723,1923,10
5677,9503,7
977,6198,4
4784,9691,9
6975,257,1
3970,7681,1
9541,3600,7
984,8130,7
6216,5000,1
8780,2080,6
5393,6286,8
5451,997,1
2520,7246,9
6962,609,2
1524,5919,1
5101,2036,5
285,4118,8
638,6790,6
4994,4193,10
4402,3975,8
3103,8648,9
598,7494,1
3800,4084,2
7625,8681,8
7577,3566,5
2838,4307,6
4267,2971,10
1597,6116,3
6139,6113,6
1474,7802,8
4754,7279,7
8479,4964,10
9538,2055,6
3937,6800,5
2270,5371,8
9169,87,10
6776,6728,4
8715,2127,8
6802,7129,2
1980,794,9
3498,1392,9
8241,413,1
7412,4122,1
2795,9390,4
2318,8871,10
3929,913,9
2544,1714,2
3386,8577,4
1910,7732,3
2718,2826,3
7120,321,3
8689,4558,8
3730,4889,3
2434,3114,6
5343,7156,6
6352,504,3
6649,6246,9
7672,9746,9
2146,3520,7
9029,1314,8
2749,3793,6
644,7522,3
1669,2222,9
9184,3548,4
5063,7060,4
6814,8793,2
2621,2805,8
3689,7243,4
8178,1023,2
9989,3481,5
2203,1169,9
1819,3707,8
8024,4102,10
2874,5631,10
2389,4557,2
6989,8132,2
1346,8576,10
64,7970,7
5345,2393,3
7210,8504,4
522,5623,10
2318,5031,4
3482,4118,8
5018,543,9
513,3699,5
5802,9835,7
9323,9822,9
7147,8758,7
6312,4382,9
3367,1556,10
1590,6098,4
6539,791,8
5249,3076,6
6148,9136,7
1098,4535,2
2597,6477,2
4583,7410,10
3294,7811,1
1377,5487,1
6086,1180,8
1694,9055,10
9413,136,4
5433,5023,3
5563,3565,3
8398,6906,7
1902,3420,10
725,3216,9
5748,5320,3
3384,5327,2
8208,2402,8
1613,9978,3
6469,1714,2
5869,5857,10
4529,8053,2
2634,4945,5
9783,7424,1
1552,3868,3
1953,18,5
8038,9235,4
9641,5056,4
5539,7008,9
8427,8592,4
5391,9473,10
3921,8355,5
7227,2577,3
7744,2783,1
2646,536,5
3445,4685,10
5305,4890,7
8115,7789,3
8180,8481,4
6373,3470,3
7979,5418,7
9163,7620,8
2926,6171,4
6482,790,4
7916,205,8
859,1103,8
3469,8045,9
3979,8947,9
2787,9169,6
1733,2051,10
7815,3498,6
672,2920,4
5028,8800,9
9625,3422,1
5723,6275,8
7217,6645,5
7355,2924,3
6210,1595,1
8763,265,2
1812,8567,7
5438,2234,3
6902,9425,10
8494,4653,7
7111,9278,4
1006,1907,8
4868,3818,10
3177,138,8
9871,1207,2
9708,3376,2
687,3020,7
2470,8067,7
7495,4653,10
2849,516,9
7756,7418,9
7863,9983,7
9750,4427,1
868,3907,6
5833,9450,5
5364,3445,5
5132,7320,4
8599,7889,10
1195,2385,9
7538,4146,9
1284,4204,6
1495,7475,5
1413,5254,1
7209,3745,5
5279,6537,2
3139,4245,10
9063,4420,1
8905,9669,6
6631,5704,4
8118,1026,4
3067,3530,1
5806,6212,5
3514,8503,3
5786,6901,8
2909,1131,2
6063,8688,5
5492,7750,6
5045,5671,7
1959,9621,3
4730,3758,3
9135,4663,4
7086,4255,3
15,5770,1
5944,2000,9
1275,686,2
1013,4755,2
6850,8668,6
4887,5657,10
4354,8834,5
4089,9055,6
6524,9563,8
4278,5720,10
796,364,9
745,6824,3
1754,5351,3
7468,465,10
1683,8571,8
4421,4085,3
5591,2527,6
1047,8468,8
4823,5450,2
8855,8317,10
6860,8498,7
3802,3825,4
9946,4158,4
1342,3480,9
2880,2459,6
3580,3094,9
8156,2254,2
379,1710,3
8188,1371,9
5702,6063,7
824,3785,9
7355,4940,3
9856,953,5
3050,6948,3
9197,7382,5
3546,8230,4
6765,7371,8
9575,1404,10
9432,8826,1
8114,5195,3
4864,2294,7
4336,315,10
3927,2445,8
453,989,8
498,6917,6
4698,9910,5
7299,2903,7
2022,9285,3
6872,8253,4
2870,7533,9
3325,7120,9
8064,7082,3
599,1023,5
3257,9784,7
4390,2064,1
8591,1756,10
796,846,6
4481,6151,6
4098,8154,2
3239,9937,3
2449,5336,3
5122,5366,4
2622,6137,1
6342,3995,3
1559,2138,7
9780,3382,10
7900,3830,2
1222,5417,6
3166,4041,6
2284,9387,2
3891,8599,7
864,4605,1
7167,544,7
2473,1216,6
5062,7781,4
4931,364,9
4426,8293,1
6027,9392,5
3921,273,9
3349,9056,5
2384,7100,5
5043,4839,10
3744,6889,3
657,7345,1
3399,8745,10
569,3753,4
5437,3062,8
8077,4839,8
1897,6132,9
5957,3567,5
5034,8333,1
8596,9989,4
4075,5256,4
1991,4233,7
9730,4663,9
8788,7767,10
7678,654,1
9210,1395,9
8350,4866,1
435,6365,8
3848,6541,3
9423,208,1
708,7856,3
8677,6951,5
747,4953,6
3861,3454,1
4151,658,1
5541,4237,6
9886,6224,8
3300,599,2
2015,9121,9
6554,1173,4
9773,7832,4
7521,973,5
5030,1191,5
7313,6328,3
1219,2170,6
7027,9196,1
5536,8238,10
9847,9261,4
5059,9176,10
4908,2520,4
6112,8831,8
7623,4501,6
8964,7520,8
33,4643,2
7871,7270,1
1100,4153,9
9016,1129,8
6051,8771,3
4982,7234,10
8544,520,6
3390,3632,10
751,1742,10
9667,750,3
9959,45,3
7957,4141,9
8951,4517,10
3617,9482,5
2690,3474,1
514,7555,6
2666,6484,3
9206,128,8
7861,4515,10
8030,8256,7
2613,7244,8
6253,9259,7
7737,5980,9
4590,5878,7
489,4599,7
2078,9716,2
9893,2416,6
4363,559,10
6384,6548,6
4922,9365,1
9133,7722,4
6859,7384,6
2035,9510,5
9867,5020,1
1446,2518,9
8792,1895,9
9603,2115,9
7007,669,3
7819,952,4
2856,232,8
2921,3304,3
3031,9908,3
1334,7856,9
4721,639,2
3125,4177,3
521,5482,10
5508,4959,3
6969,2655,2
7907,1956,10
6660,8761,1
7113,7771,5
909,6099,5
9316,3714,10
4335,3630,4
7369,7536,7
2946,921,8
7858,4394,8
3875,7706,1
3721,8918,8
4483,5640,6
969,1325,4
3858,4951,2
6849,1443,4
6047,823,7
1590,3360,7
6728,7963,5
9615,1147,7
4701,3733,3
7644,2095,6
1416,2721,5
1952,1914,2
5735,868,2
4879,9581,10
9238,2713,8
1847,9337,4
8448,8229,6
4673,2805,8
44,5152,3
2318,8018,9
1436,4102,6
6782,2967,5
6746,7111,4
2914,9020,8
4859,57,2
3082,8690,7
3348,850,5
7110,6248,10
2995,7436,6
4733,9681,8
2046,8816,8
5691,7138,6
9622,9037,2
4062,8803,5
8202,7628,1
3575,2096,8
2399,981,5
9845,9372,9
8712,1770,5
7532,9871,7
3936,7512,7
8817,4643,9
6309,4503,4
8597,2068,4
8885,3895,8
683,9219,5
2751,1611,6
3420,5865,2
2676,7319,6
2812,1229,5
9029,9192,1
6979,8891,3
4178,3598,8
4898,3524,10
4782,3733,10
8722,7555,6
503,3839,7
9795,5911,5
1236,3053,3
1173,9009,6
1191,4479,4
5416,9698,10
1105,6946,5
2805,797,10
6472,6900,6
1232,717,3
3700,5959,5
708,9924,4
7220,2721,8
8933,1596,5
4261,4661,4
2854,9631,7
9042,3320,8
5271,487,7
9007,8185,9
3138,6835,7
2235,2214,3
7214,7320,8
3955,8947,2
5631,2207,8
2341,415,6
4141,9549,4
7979,76,9
3397,6774,3
4061,7987,6
5701,3672,4
816,4697,3
6799,8880,9
2216,9511,9
5949,7899,5
7920,1424,7
7180,5719,7
1633,9700,9
125,6176,4
5309,7688,5
5180,9062,9
1124,2206,1
5091,7740,1
7089,7447,1
8529,9185,4
2681,1755,7
8591,3471,7
8511,7593,4
1916,6271,5
5658,3165,9
4366,378,3
2600,5136,4
4948,7129,9
990,5171,2
2636,8677,7
2242,4,9
6912,522,9
1699,8636,10
2837,9248,10
3407,1014,9
5539,1385,7
5478,8747,4
8669,216,10
9055,7376,7
7043,1115,2
460,5893,4
7979,8337,9
1742,8416,1
996,7531,9
1503,1276,9
7782,2769,2
4301,9497,3
4922,6515,10
2227,5823,10
9609,1440,7
7604,3794,4
3762,4554,3
1255,2072,6
8635,97,6
3896,3852,2
675,3497,5
2772,6634,3
8438,9555,4
599,7005,6
8883,367,2
5703,7775,9
6736,8243,1
7608,2731,2
6469,1855,4
1943,3301,8
7937,9068,2
5497,1647,10
6839,508,6
6266,7278,10
2116,9499,7
8652,8376,4
7641,3413,2
1381,2449,1
1887,5999,4
3914,7850,2
3952,9659,9
9003,7140,8
1798,1108,9
1231,9659,10
3796,9095,6
1369,8292,7
7180,1411,1
4242,6924,9
3183,5757,4
8849,8214,8
5112,1741,2
4913,1594,1
1125,7964,10
8187,4041,10
1892,608,2
4514,4545,2
8774,3157,1
3152,1033,3
8552,6928,7
6217,124,6
6514,5145,10
7013,5988,10
4548,1800,1
4371,2339,5
7405,3537,10
621,4187,8
942,4131,3
3791,1945,4
3291,7443,3
4668,3643,4
1414,2242,4
3886,9937,6
5283,4432,1
3165,236,2
3733,1001,6
4300,8258,9
9123,6455,4
4446,3965,1
8045,539,8
2707,7726,5
3338,4622,5
1752,8535,5
5690,5,4
7009,3146,8
1629,2045,3
803,9755,3
6586,7569,9
1507,5618,3
2812,6403,2
3814,5968,2
7129,3003,7
1755,9264,10
7035,5594,10
1001,4698,7
2562,5824,7
3064,8288,4
1482,5406,4
8224,3216,4
5666,7946,6
6825,1923,9
3210,2421,4
1626,9189,6
2433,8308,5
7729,1410,9
6364,4345,5
9832,8758,7
852,4043,1
2719,4727,7
5579,8011,4
5127,8842,5
8584,9996,5
9501,9499,6
1174,6747,3
5164,8580,4
3028,3959,9
127,8570,5
9379,4072,9
6850,1734,10
9432,8024,4
7617,6984,3
3302,3407,8
1,4088,5
4142,5287,3
4549,5024,9
3163,6411,2
2298,3653,3
6444,4983,8
3499,468,6
6946,9572,6
4018,1510,2
5276,2607,5
6756,5822,4
3769,3300,6
4885,7655,3
5652,4902,1
5444,7569,8
3964,7107,8
4404,7811,2
5972,153,3
6793,2771,1
7000,3890,10
4489,2011,8
1429,3995,8
533,3931,9
2869,533,8
5303,3732,9
1023,1832,10
7602,5150,5
5384,1079,4
3130,3678,5
6290,7327,10
2981,7464,5
6809,4391,9
8013,191,7
8252,9036,7
2105,7192,1
703,8812,8
2214,9070,10
8770,6372,1
7033,650,1
8702,7098,5
7440,3617,7
4873,7765,1
9695,228,7
4473,7261,5
6522,3891,3
5931,4869,3
1075,6167,10
185,5091,7
530,6066,10
7838,9356,8
6030,2455,1
46,6959,10
619,4003,9
6002,286,10
1812,3697,5
3917,1398,6
4604,5772,5
8264,5516,4
3383,1055,1
3469,3341,3
5736,7615,2
5181,3919,5
5903,7994,1
4949,3495,7
9000,9044,6
9922,6271,7
2526,3221,5
4934,555,10
3586,9586,10
5947,3406,1
1276,9141,7
5668,4322,5
62,256,9
1325,6693,7
3123,3470,9
6196,4552,6
5950,3464,5
8870,7857,8
8567,471,8
1892,1932,9
8501,1331,8
9703,2952,10
786,5476,9
5411,9736,8
9970,9289,10
6046,4832,6
6595,7313,3
1338,8241,9
7713,7548,4
7583,3211,9
7212,4082,9
6599,5692,4
1651,7194,5
8525,5466,7
5159,2278,8
5906,7247,1
7759,3368,3
7726,1112,6
2836,4236,2
3907,4881,1
3481,684,4
3148,1590,10
4883,6295,10
4080,2295,4
8131,7358,3
680,1619,8
8980,3,9
2005,8499,7
9674,5427,9
5145,9879,3
313,4837,3
2101,8816,5
8475,8415,9
6146,8002,6
7370,2238,9
225,831,2
4235,3972,7
5001,8267,6
1208,2802,8
2005,5115,10
416,4085,1
8236,2772,3
1566,8980,10
5655,5228,10
4347,3115,4
5253,9900,7
2438,7700,10
9596,6372,3
7874,6970,2
1352,7275,4
9819,7594,10
9129,6194,6
115,1875,9
864,4686,8
2448,8519,4
2486,8333,7
7162,2191,4
9065,9579,6
9360,8823,2
2982,6977,10
8774,7205,10
3799,8173,4
8129,4862,2
4333,201,3
8521,8902,8
8975,544,7
1435,1870,9
321,3325,1
8164,8639,3
4526,2130,8
9977,7073,7
7574,9793,9
9270,5425,3
2159,1613,8
2375,271,10
7765,9223,10
7252,4717,10
1098,5903,8
6626,4249,10
2547,8035,4
2277,9470,10
3636,7393,8
3918,269,10
6206,7474,10
1544,6451,4
4822,9196,10
5839,9417,6
6816,6762,10
2950,3035,4
9350,9477,9
983,2280,8
6539,5180,7
9291,7008,9
9221,575,10
1719,4456,9
2222,4280,2
935,2956,5
6619,5232,1
3277,4441,1
8040,2527,3
4082,6853,5
5893,2171,1
9505,327,3
2924,8762,9
81,4159,8
4092,8099,10
1345,1111,4
4322,3770,1
6444,4384,2
635,5784,8
8250,7618,10
4920,9576,6
2297,9581,8
7178,4166,7
9061,124,7
867,166,6
6283,159,10
9088,3020,7
1938,4624,4
1562,6549,10
2796,7794,2
3766,6296,8
2535,418,3
4069,364,9
6027,5125,9
9015,8008,5
9249,2569,10
535,4942,7
7086,8402,10
9109,2879,9
9736,4540,10
3029,199,5
3857,3384,5
7183,7384,9
9643,2610,9
3484,9077,7
5623,2257,7
3287,340,4
4982,1336,3
4731,5778,1
4903,6404,10
3442,3072,1
739,8277,4
291,4752,7
9478,7227,10
1276,3672,8
9573,8153,7
990,1313,9
4173,7983,3
6646,8733,5
8158,4230,3
5563,7969,7
7071,3490,2
8965,6416,2
2545,7841,7
4740,7314,10
372,9668,2
6387,1891,10
7231,2179,2
3239,3436,10
1289,7922,3
6649,2762,10
6641,2241,10
5434,5204,2
7443,9743,10
4500,4346,2
5213,9753,6
3608,7755,9
6449,7818,2
5061,3012,3
5115,4867,2
7404,9384,5
6053,3765,7
4630,8182,9
1284,4347,10
5496,3254,6
4955,99,1
1590,1204,3
7186,2607,10
93,4351,3
8255,4862,7
3904,9562,6
7662,7113,6
262,6777,3
2529,723,5
2579,7069,8
7552,3276,10
2893,9492,2
3269,9696,5
7452,5462,5
7968,4913,6
3290,6393,10
5606,2429,3
8396,2178,6
8184,5452,8
2050,8062,2
3742,3015,2
320,8929,9
4047,2126,8
222,5201,1
101,7881,2
278,9574,10
7933,7731,5
