trail_id,animal
7397,russian
4239,bear
2786,russian
8876,wolf
8262,fox
1720,russian
6540,wolf
5950,wolf
2900,wolf
5907,fox
3889,russian
2345,russian
70,bear
2744,russian
1992,fox
6187,bear
1638,russian
8161,bear
680,fox
2881,wolf
5972,fox
4726,wolf
7980,russian
8805,wolf
8686,bear
4526,wolf
9982,fox
6901,fox
5956,fox
1913,russian
8306,russian
7206,fox
4883,russian
7357,fox
6057,wolf
232,bear
2868,wolf
4295,wolf
4410,russian
7817,bear
3049,russian
4674,fox
2101,bear
4106,fox
2481,fox
1662,russian
9943,bear
1605,fox
2799,russian
8342,russian
6515,bear
9712,wolf
4607,russian
402,bear
4451,russian
901,fox
2970,wolf
1978,fox
5008,bear
8485,bear
7633,bear
398,fox
8347,fox
7587,russian
9349,russian
791,bear
6823,russian
7272,wolf
1226,fox
118,russian
6958,russian
189,russian
7525,fox
3562,wolf
2011,russian
9658,wolf
3949,fox
8685,russian
701,russian
3857,russian
3607,russian
8004,fox
4211,russian
5674,bear
8367,russian
7850,fox
2565,wolf
7728,russian
4970,russian
603,russian
5100,bear
5848,wolf
4328,wolf
3116,fox
2366,russian
6948,russian
8400,russian
7728,wolf
6582,bear
6154,fox
2039,russian
6791,wolf
5748,fox
1205,fox
9275,fox
1955,wolf
6382,bear
7482,bear
8460,fox
1241,russian
8266,russian
2963,fox
1938,russian
2219,bear
6225,fox
4984,russian
4135,bear
9316,russian
8933,fox
2902,russian
5854,russian
37,fox
6836,wolf
332,russian
4540,fox
9445,bear
6998,wolf
806,fox
4207,wolf
2966,russian
6812,wolf
1891,wolf
3760,wolf
3509,russian
8909,fox
7047,fox
5626,wolf
893,russian
8161,russian
989,russian
2987,wolf
3685,russian
2383,fox
7942,bear
3199,wolf
6515,bear
4928,russian
4004,wolf
1517,bear
4323,russian
3944,russian
2030,russian
6992,wolf
8460,bear
7330,wolf
7493,wolf
2085,fox
7020,fox
9331,wolf
5578,russian
4327,bear
5091,wolf
7795,fox
7382,bear
5263,fox
1586,russian
3824,fox
6543,bear
486,russian
1543,fox
7615,fox
2164,wolf
2091,bear
9113,russian
7593,fox
6799,russian
7043,fox
6189,wolf
2960,russian
8805,fox
8188,fox
5307,russian
1160,fox
6767,wolf
5651,wolf
9111,russian
8167,fox
5261,russian
7520,wolf
8447,wolf
6938,wolf
1348,fox
9045,wolf
1394,fox
5093,russian
9790,fox
5675,bear
9047,russian
8894,russian
2474,fox
8152,wolf
6252,russian
3216,russian
589,russian
2167,russian
7824,wolf
7731,russian
2533,fox
7499,bear
7276,russian
890,wolf
9090,fox
8229,fox
3203,fox
937,russian
6438,wolf
7808,fox
4609,fox
5014,fox
6931,fox
7119,wolf
1570,wolf
8056,russian
5667,fox
8044,bear
1377,bear
3508,bear
4635,russian
9316,russian
5176,bear
8445,fox
3282,wolf
4238,bear
6129,wolf
4471,russian
646,fox
8801,wolf
8458,wolf
259,fox
9122,bear
6324,russian
7140,bear
2269,fox
5633,bear
1371,russian
1771,russian
7208,fox
7753,fox
5047,russian
9532,fox
7239,fox
1670,bear
6925,wolf
239,wolf
6228,fox
144,wolf
4834,wolf
6276,bear
9676,wolf
525,fox
548,russian
9729,fox
9152,bear
2843,wolf
4485,bear
6323,fox
1413,fox
1789,bear
4278,fox
8514,wolf
5197,bear
6243,russian
1110,fox
2173,wolf
8863,fox
9192,wolf
2454,russian
350,bear
5868,bear
6220,bear
1905,bear
870,fox
5967,fox
3773,russian
1120,wolf
3877,fox
4201,russian
7698,russian
9787,wolf
4827,wolf
8902,fox
1233,fox
6143,fox
2317,russian
5132,bear
7644,fox
2218,bear
7117,bear
6064,fox
7740,wolf
1851,bear
7834,russian
2089,bear
7176,bear
6004,fox
885,bear
756,wolf
6789,bear
9950,wolf
334,fox
9082,bear
4286,fox
2390,wolf
965,russian
1684,bear
8213,russian
3250,bear
7583,wolf
7354,bear
6925,russian
3283,bear
756,fox
3546,bear
2577,bear
7172,bear
9776,fox
6217,wolf
3387,bear
2738,wolf
7833,russian
6023,russian
5063,fox
959,russian
8745,wolf
8485,fox
7579,bear
4367,russian
7855,bear
7924,wolf
7915,bear
8814,bear
9973,russian
8691,russian
728,russian
8948,wolf
129,fox
8537,wolf
3434,wolf
1451,russian
3981,wolf
8193,fox
4383,russian
9520,wolf
1343,wolf
3736,wolf
7806,wolf
8179,wolf
5592,russian
1832,fox
2822,wolf
393,fox
5645,russian
2930,fox
9684,fox
3762,fox
259,wolf
1986,russian
336,russian
2297,bear
2629,bear
8125,wolf
2551,bear
8570,bear
428,wolf
1554,wolf
3639,fox
270,russian
9854,russian
7708,bear
6556,bear
7433,wolf
7661,wolf
9001,wolf
6067,wolf
9933,russian
2292,fox
296,bear
1221,fox
6438,bear
7469,wolf
3672,bear
4042,fox
6676,bear
6297,bear
3642,bear
2202,russian
6340,bear
5502,wolf
5053,wolf
454,fox
8053,russian
4306,fox
9789,fox
6156,fox
6531,fox
7371,fox
6699,wolf
7448,bear
1180,russian
4597,wolf
9299,bear
3810,russian
3079,russian
196,russian
3660,wolf
3690,bear
674,wolf
4177,russian
1274,wolf
9661,fox
4303,fox
5527,wolf
2059,wolf
1589,russian
3973,fox
9884,bear
9285,bear
5218,bear
4185,wolf
2952,wolf
4046,fox
563,bear
1792,wolf
9874,bear
4054,bear
370,russian
9017,russian
1796,bear
9162,russian
8948,fox
4281,bear
7747,fox
4275,fox
1867,wolf
2292,wolf
9217,russian
3473,wolf
5451,fox
4793,fox
3403,russian
1621,bear
3109,fox
4564,bear
471,wolf
484,russian
3521,wolf
551,fox
3608,fox
1976,fox
106,bear
6642,wolf
945,bear
3034,fox
2778,bear
4926,bear
994,russian
9033,wolf
7113,fox
1939,wolf
258,russian
5459,russian
311,bear
2919,fox
1606,russian
4334,fox
7102,fox
1754,fox
2550,wolf
8690,wolf
4476,wolf
9706,bear
8355,bear
3893,wolf
605,fox
3655,russian
7469,fox
6919,russian
7261,wolf
1256,fox
1664,bear
1462,russian
1173,bear
1393,russian
9024,bear
1798,bear
7869,russian
9722,fox
3535,wolf
2788,russian
7316,bear
5588,wolf
8108,fox
4299,wolf
7033,wolf
5457,bear
6590,wolf
3231,russian
8297,wolf
4204,bear
5701,wolf
9509,russian
7992,wolf
4738,fox
1749,fox
5542,russian
1254,wolf
8622,fox
772,wolf
4070,bear
4200,wolf
3124,bear
9656,bear
3652,wolf
9497,wolf
2099,fox
7682,fox
8929,wolf
327,fox
6959,wolf
2050,wolf
7144,bear
1204,bear
3382,fox
4389,russian
4659,russian
6979,wolf
7895,fox
7245,fox
4131,russian
8117,wolf
1431,wolf
8660,fox
8064,fox
5676,bear
1533,wolf
394,russian
577,bear
6566,bear
4838,bear
9950,bear
7178,fox
9503,russian
8431,fox
9961,fox
238,wolf
4002,fox
7336,fox
1699,fox
2959,wolf
1156,russian
7883,wolf
4023,wolf
9609,russian
1608,russian
1405,bear
7151,wolf
1413,bear
2876,wolf
7839,russian
3599,fox
1294,wolf
6115,bear
6767,russian
7634,russian
2510,bear
11,fox
9918,russian
5781,fox
643,russian
4754,fox
7398,bear
4022,wolf
5479,wolf
3937,bear
2737,russian
7346,russian
8336,russian
4058,wolf
8088,bear
5973,russian
125,bear
1059,russian
8826,fox
3216,wolf
7742,russian
9330,russian
7857,russian
2067,bear
3231,fox
1537,russian
7854,bear
2500,bear
1594,bear
3801,wolf
8698,wolf
2930,bear
2067,wolf
3930,bear
8230,wolf
7428,wolf
2903,fox
4156,fox
2513,bear
5081,bear
9855,fox
1212,fox
998,fox
2181,wolf
9681,fox
8443,fox
3389,bear
3611,wolf
315,bear
9263,fox
5542,russian
3442,fox
9394,wolf
8076,russian
4318,wolf
5502,fox
5236,russian
4387,bear
597,bear
2507,wolf
8164,fox
5016,wolf
8,bear
5135,russian
3636,russian
4927,fox
1079,bear
5856,russian
5527,russian
9019,fox
9014,fox
8411,bear
959,wolf
4168,wolf
2600,wolf
474,wolf
1043,fox
3473,wolf
7874,bear
768,bear
782,bear
8678,fox
9302,fox
5184,russian
8176,wolf
5620,fox
1798,wolf
4391,bear
5267,russian
1751,wolf
2928,bear
1636,fox
9680,wolf
4292,fox
5381,wolf
7421,russian
1004,wolf
8692,fox
2939,wolf
9127,wolf
2122,fox
8204,fox
9075,wolf
7466,fox
8141,fox
5246,bear
14,bear
8530,fox
822,bear
972,russian
4709,fox
1056,bear
5032,bear
3449,bear
3437,russian
5680,wolf
902,wolf
6932,wolf
8355,fox
8593,bear
5163,bear
2105,bear
3072,bear
8038,russian
3211,russian
2836,bear
7367,fox
14,fox
2288,fox
2269,russian
6571,wolf
4349,bear
6782,fox
8721,fox
4904,wolf
8833,russian
9491,russian
9713,wolf
4712,bear
7766,russian
3331,wolf
3246,fox
9377,fox
1773,wolf
893,bear
7495,bear
4464,bear
7785,russian
6793,fox
5381,russian
1510,fox
1999,bear
6620,fox
3835,bear
1356,bear
5620,wolf
7410,bear
4557,fox
7194,bear
8601,fox
7051,wolf
9554,wolf
3617,bear
3966,bear
7185,bear
8407,fox
1791,bear
6180,fox
9488,bear
6440,russian
2038,russian
2740,bear
3104,wolf
9544,bear
2444,fox
8878,fox
1061,bear
2349,russian
9698,russian
7620,wolf
4708,wolf
2697,wolf
8656,wolf
3503,russian
353,bear
1361,wolf
5847,bear
4568,fox
8044,wolf
6401,russian
4014,fox
665,bear
2355,bear
3834,wolf
3833,wolf
7623,russian
2984,fox
6003,wolf
2156,russian
6859,fox
1528,russian
6621,russian
3529,fox
4094,russian
9130,bear
3164,fox
6108,bear
1981,fox
5472,wolf
5087,russian
8839,russian
1237,bear
7992,fox
3930,russian
3840,fox
676,russian
3608,wolf
4047,wolf
9490,bear
2509,fox
8208,russian
8508,bear
9112,wolf
9101,bear
348,wolf
572,bear
4637,russian
8408,russian
4879,bear
9060,russian
5226,fox
9915,wolf
2323,bear
2897,russian
2093,fox
3572,fox
6473,wolf
4446,bear
5011,fox
1881,russian
3537,russian
5638,fox
244,wolf
3669,fox
12,fox
6991,bear
6768,wolf
9123,russian
1000,wolf
919,wolf
8813,fox
2059,bear
1070,fox
4486,bear
4605,russian
9491,russian
6365,wolf
237,russian
1565,fox
3915,bear
3068,wolf
6896,wolf
2239,fox
7644,bear
9257,wolf
7788,bear
3995,wolf
7954,russian
772,fox
3119,wolf
5130,fox
4498,wolf
9470,wolf
338,bear
8770,wolf
5749,fox
8121,fox
1834,wolf
4596,russian
3372,wolf
8988,bear
7134,wolf
647,bear
3649,fox
2466,fox
7513,fox
1695,bear
1019,russian
8558,bear
78,fox
7648,russian
7670,russian
6632,wolf
9912,fox
8301,fox
4209,wolf
9458,fox
6799,fox
5597,fox
2975,russian
8516,fox
6639,bear
5747,russian
9486,russian
4500,bear
1987,wolf
2718,russian
3223,fox
7170,bear
5907,fox
9507,fox
8167,wolf
6011,russian
2134,fox
551,wolf
9353,russian
1237,fox
8718,bear
9290,russian
40,fox
4282,fox
56,wolf
1287,bear
4410,russian
1354,bear
3328,wolf
7214,fox
166,wolf
722,fox
2857,bear
9791,russian
9937,russian
827,russian
2460,bear
2957,bear
7804,bear
2233,fox
8065,wolf
7256,russian
8753,fox
2895,russian
9050,russian
7942,wolf
6261,fox
8456,wolf
1253,wolf
1201,bear
4764,wolf
5262,bear
1831,russian
1008,fox
2233,fox
350,wolf
4123,fox
9902,fox
4518,russian
4309,bear
7646,fox
7654,bear
2855,wolf
3861,fox
6094,russian
3139,fox
691,fox
2919,fox
4853,wolf
2624,russian
9925,wolf
8202,wolf
3029,russian
2888,wolf
8268,wolf
9568,wolf
4034,fox
2224,russian
5990,fox
8775,bear
3262,bear
9143,bear
9253,fox
4158,fox
2854,fox
4595,bear
3071,russian
5691,bear
4669,russian
188,bear
1075,russian
1581,fox
9904,russian
7004,russian
7853,wolf
3412,fox
4107,bear
649,wolf
4858,bear
6237,bear
872,russian
13,bear
7447,bear
5802,bear
4779,russian
4662,russian
1280,wolf
188,bear
2865,russian
5665,fox
4638,russian
3506,russian
2620,wolf
7437,fox
7871,fox
8854,russian
5376,fox
7831,fox
2552,wolf
2644,russian
7124,wolf
4340,bear
1798,fox
8475,wolf
4698,russian
2221,bear
3800,fox
3774,fox
1976,wolf
5067,bear
5279,russian
996,russian
224,bear
1674,wolf
9034,wolf
5467,russian
9010,fox
7997,bear
8814,bear
1102,russian
9949,russian
5823,russian
9885,fox
3402,wolf
9860,russian
2936,russian
2346,fox
1269,russian
9726,wolf
5824,russian
1653,wolf
1287,fox
5723,wolf
4889,fox
3117,russian
1679,russian
4137,bear
5025,russian
4654,fox
8078,russian
5136,bear
6062,fox
4643,fox
295,russian
7945,fox
5188,wolf
9790,wolf
6901,russian
6024,fox
3670,russian
9796,wolf
799,fox
8427,russian
1085,russian
1327,russian
854,russian
2854,wolf
973,wolf
8631,fox
7421,fox
8439,wolf
6492,bear
3847,bear
5933,russian
5489,wolf
4293,russian
8457,wolf
4309,russian
8707,wolf
61,russian
8491,fox
1666,bear
9352,bear
6440,bear
5218,bear
2405,fox
5888,fox
3311,wolf
2761,bear
8885,wolf
2133,fox
8656,fox
9966,wolf
404,wolf
9888,wolf
5345,bear
4261,fox
5271,fox
7237,bear
8499,russian
1510,russian
4760,wolf
7659,wolf
3085,wolf
3474,bear
3060,fox
8559,bear
6700,russian
1853,fox
7894,russian
4237,wolf
5037,russian
1834,fox
4588,bear
3639,wolf
2017,fox
5994,russian
9747,bear
8703,wolf
981,bear
1289,fox
1346,fox
8168,russian
3060,wolf
851,fox
2486,russian
7330,bear
7309,fox
7741,russian
4665,wolf
3896,bear
9490,wolf
3774,wolf
8695,fox
9477,wolf
7410,fox
9842,fox
5670,bear
6500,fox
8121,wolf
1854,bear
9254,russian
8645,fox
1425,fox
6467,russian
1044,fox
3144,wolf
6386,fox
9260,bear
1873,russian
248,fox
7254,russian
4238,fox
2138,bear
3634,fox
2572,wolf
5419,fox
1757,wolf
704,russian
2345,bear
1332,wolf
2541,bear
6486,russian
5625,wolf
1650,fox
8522,fox
3460,wolf
2074,fox
9287,wolf
3180,wolf
4882,fox
5981,bear
6088,russian
1813,fox
4256,russian
232,fox
3613,bear
5118,russian
2891,wolf
2917,russian
2864,wolf
7536,bear
9377,wolf
4710,wolf
3797,wolf
1620,bear
2608,bear
5764,bear
1582,bear
7108,bear
5167,fox
3,bear
9024,russian
9304,wolf
3046,fox
755,russian
2490,wolf
572,bear
8364,fox
7087,wolf
5571,wolf
3685,fox
9632,russian
5982,russian
6666,russian
7891,fox
2142,bear
9806,bear
1605,fox
2461,russian
3044,russian
2932,bear
6861,russian
3426,wolf
1929,fox
8636,russian
7473,wolf
5045,fox
952,fox
3843,bear
5219,fox
6414,fox
748,wolf
8020,fox
4231,wolf
2816,wolf
5248,bear
9289,fox
5073,wolf
2875,fox
5871,bear
998,bear
8906,fox
3941,bear
3308,russian
4208,bear
9145,bear
3469,bear
3111,wolf
6212,russian
5705,bear
8446,fox
4791,russian
7276,fox
4318,fox
4182,russian
9868,wolf
3436,bear
9576,russian
1993,bear
775,wolf
3061,fox
542,fox
1319,fox
6831,fox
5720,bear
1061,russian
2252,russian
3132,russian
4469,wolf
3727,bear
5216,russian
2360,wolf
5507,fox
5331,bear
2665,bear
8401,bear
7102,russian
1991,russian
6742,bear
4823,bear
373,wolf
7439,fox
4213,wolf
3227,russian
988,wolf
2847,wolf
360,fox
3888,fox
6880,bear
507,wolf
6005,bear
5031,bear
8687,wolf
8107,fox
9736,wolf
1068,bear
8548,bear
2664,wolf
7504,fox
5277,fox
5932,bear
3180,bear
2211,wolf
4788,fox
6630,bear
6750,russian
7480,bear
1372,bear
3529,fox
6681,bear
9193,wolf
4775,wolf
1944,bear
1386,wolf
6309,bear
6468,wolf
7455,russian
9300,bear
4402,bear
5574,bear
8692,bear
8092,fox
9596,russian
1806,wolf
2932,wolf
6244,russian
4730,fox
8712,bear
846,bear
7638,bear
9086,wolf
7503,bear
6988,wolf
7529,wolf
7273,russian
7085,bear
2167,fox
5645,russian
7805,wolf
8257,russian
3451,fox
33,russian
9403,fox
7550,bear
3789,fox
8476,wolf
1957,wolf
3890,wolf
3260,wolf
5991,fox
5774,fox
9403,bear
3521,russian
674,bear
1203,fox
56,fox
9941,fox
4431,wolf
3682,bear
9899,fox
9154,russian
1874,fox
8183,wolf
6562,russian
9711,wolf
5828,wolf
5421,fox
251,fox
191,bear
6016,wolf
2553,wolf
2222,bear
128,bear
7987,fox
973,fox
5906,russian
2285,russian
6519,fox
1103,wolf
920,bear
8216,fox
266,bear
9409,fox
5756,fox
4023,wolf
5187,russian
4406,wolf
7389,russian
890,wolf
1901,bear
6362,russian
8779,russian
5186,bear
3337,bear
7672,russian
1733,wolf
477,wolf
3806,russian
5799,russian
3372,wolf
6028,wolf
2450,russian
5254,fox
8277,wolf
964,russian
1109,russian
9922,bear
1704,bear
6320,bear
5346,russian
8112,russian
1084,bear
5201,wolf
2143,bear
9870,wolf
533,fox
1123,fox
9183,bear
8103,russian
1646,wolf
8349,fox
5102,wolf
5079,fox
8405,russian
9577,wolf
602,wolf
5290,russian
8266,fox
3076,wolf
5672,wolf
8480,fox
243,bear
72,wolf
2756,russian
61,wolf
2518,fox
2854,bear
4902,russian
3190,fox
9789,bear
3228,wolf
4465,fox
6631,bear
8584,bear
9671,fox
1877,russian
4759,fox
3159,wolf
4939,wolf
8326,bear
5122,bear
9889,fox
2689,fox
1783,bear
9491,bear
934,russian
6406,russian
8008,bear
9063,bear
7073,fox
7851,bear
2772,fox
7941,bear
934,wolf
5745,bear
2842,fox
6156,bear
4406,fox
6433,wolf
6188,wolf
1315,bear
8061,wolf
2239,bear
4236,fox
2095,bear
7942,fox
1260,wolf
1179,fox
7503,bear
2357,russian
3425,fox
1451,wolf
8255,bear
5634,fox
7810,bear
5478,wolf
8508,russian
123,wolf
4543,russian
3941,bear
2017,fox
6642,fox
7104,wolf
7042,bear
1328,wolf
3928,russian
2874,russian
867,fox
4288,russian
4833,bear
8184,bear
1041,wolf
8603,fox
7848,russian
9893,bear
2824,russian
2382,wolf
9131,russian
8863,bear
4237,fox
3168,bear
1307,fox
9578,fox
2785,fox
3950,wolf
1270,russian
1619,wolf
2114,russian
7319,bear
5511,wolf
9984,bear
2433,fox
2124,russian
2682,fox
9080,fox
7532,bear
7717,russian
9780,wolf
3512,bear
3558,fox
9063,bear
3219,wolf
3567,bear
5255,wolf
6941,russian
3245,russian
1727,wolf
1612,russian
4290,bear
6367,russian
4385,bear
1248,fox
5359,wolf
4306,wolf
9547,bear
9850,fox
3562,bear
1709,fox
9632,wolf
1444,russian
4328,bear
8405,bear
2211,wolf
4750,russian
585,bear
5765,russian
570,wolf
1587,russian
5831,bear
5373,bear
5087,bear
5479,fox
7806,bear
7486,wolf
2024,fox
7046,fox
7359,wolf
2270,bear
9081,fox
5195,russian
7853,bear
304,fox
6002,russian
2058,fox
17,wolf
1770,wolf
7939,russian
7297,russian
5981,fox
4119,fox
7737,fox
314,bear
5240,russian
5522,fox
5832,fox
3361,wolf
4403,bear
1670,russian
735,fox
842,wolf
7588,bear
3621,fox
6692,wolf
512,fox
76,fox
6560,bear
4042,wolf
1528,fox
8226,russian
3999,wolf
6647,fox
5962,wolf
1505,wolf
354,wolf
4392,fox
1668,fox
2920,wolf
2533,wolf
5062,wolf
4098,wolf
3865,bear
5686,fox
4276,bear
5759,russian
5569,wolf
1295,bear
287,russian
5552,bear
9380,russian
7070,bear
2384,bear
4323,wolf
9609,wolf
1900,fox
460,bear
2725,fox
4520,russian
1221,bear
6105,wolf
1937,wolf
3994,bear
2726,russian
5260,bear
439,russian
6659,wolf
2832,russian
4836,fox
7826,bear
7473,wolf
9749,bear
9394,fox
314,fox
7297,bear
3971,wolf
6070,wolf
8483,fox
6888,fox
4919,russian
3708,fox
6213,fox
662,bear
8994,fox
697,wolf
7796,wolf
2468,bear
3460,bear
2965,fox
1799,bear
348,russian
1491,fox
1870,fox
6070,russian
561,bear
565,fox
8120,fox
3623,wolf
326,wolf
9444,bear
3373,wolf
9058,fox
1165,fox
6246,wolf
8558,bear
3160,bear
7021,fox
6527,wolf
9428,russian
7789,bear
3479,wolf
6852,fox
2248,russian
8004,wolf
8336,bear
8636,fox
2994,russian
6623,russian
7917,wolf
8896,fox
1635,fox
5643,bear
9569,bear
8279,bear
2189,russian
4469,bear
2220,wolf
7521,wolf
861,bear
232,russian
7489,wolf
8931,wolf
1772,wolf
5366,wolf
5280,wolf
8365,russian
9248,bear
3679,bear
2112,fox
5739,russian
1511,wolf
196,russian
2247,russian
120,fox
1124,bear
9046,fox
5341,bear
180,bear
8489,russian
1715,russian
7329,russian
7953,russian
5216,wolf
9415,bear
5127,wolf
5959,fox
686,bear
8985,bear
8889,russian
1463,wolf
194,bear
2432,fox
8838,bear
8326,wolf
4955,bear
6983,bear
320,fox
8291,russian
3472,russian
4640,wolf
6989,bear
2032,russian
8184,fox
6184,wolf
8572,russian
4290,wolf
3881,russian
2014,fox
1262,fox
461,fox
4378,wolf
6092,wolf
2963,fox
3328,bear
55,russian
3561,wolf
7576,russian
3539,fox
7473,wolf
1639,bear
566,wolf
2305,fox
4505,wolf
5923,bear
7232,russian
3168,fox
9904,russian
3236,bear
7059,russian
4780,wolf
464,russian
2344,fox
2210,bear
1807,fox
7486,wolf
7538,fox
1345,russian
2467,wolf
799,wolf
8573,fox
5160,russian
6723,russian
5065,bear
1683,fox
2704,fox
651,bear
1309,wolf
4155,wolf
7276,wolf
2837,russian
6392,wolf
8565,bear
6919,fox
7929,fox
4281,wolf
8272,bear
1449,bear
3105,bear
2156,bear
231,fox
5886,russian
5185,wolf
8907,bear
7329,fox
9479,bear
1610,bear
4311,russian
2453,russian
2349,bear
3020,wolf
4243,wolf
1818,russian
5566,wolf
9762,wolf
8019,russian
9999,wolf
5293,wolf
8306,wolf
3394,fox
4351,fox
9412,bear
2618,wolf
3288,wolf
1285,russian
9524,bear
3770,fox
4116,wolf
2358,bear
5407,wolf
1194,bear
7959,fox
7472,bear
4776,russian
5818,fox
9745,wolf
4737,bear
3276,fox
6616,fox
7710,russian
7669,russian
6815,wolf
1240,fox
2679,wolf
7668,russian
4741,wolf
5613,bear
5196,russian
7294,russian
1192,wolf
3164,bear
1819,russian
5942,russian
8538,wolf
661,fox
1372,russian
264,fox
2212,russian
9178,wolf
4660,wolf
5806,wolf
7046,fox
5627,wolf
5071,fox
5553,bear
9448,fox
8938,russian
3799,russian
1912,bear
7398,russian
2334,fox
2493,fox
5359,bear
203,bear
824,wolf
5229,russian
1295,russian
7038,russian
685,bear
5603,bear
741,russian
9130,bear
4048,fox
6996,fox
2132,bear
9953,wolf
8124,bear
9488,fox
6035,russian
4290,fox
8304,russian
2374,bear
5914,fox
6204,fox
2504,bear
2183,wolf
3229,bear
6565,bear
3636,russian
4464,russian
3464,wolf
9935,bear
4373,fox
5219,wolf
8990,russian
9980,bear
9777,fox
656,russian
5227,russian
5522,wolf
4524,bear
7915,russian
628,fox
5007,bear
5752,russian
3375,fox
5084,wolf
6225,fox
2480,russian
3522,bear
8175,wolf
6081,bear
3448,bear
5775,bear
4104,russian
2768,wolf
8402,wolf
5945,wolf
4537,wolf
8182,wolf
6248,wolf
4531,bear
2181,fox
6573,russian
6583,wolf
4959,bear
5320,bear
6650,wolf
4933,russian
3913,wolf
8318,wolf
3964,russian
4679,bear
9143,bear
4736,fox
6065,bear
5045,fox
4759,fox
3726,wolf
5919,russian
8413,wolf
9317,wolf
8416,wolf
511,bear
241,fox
8203,russian
6563,bear
2154,russian
162,fox
8392,russian
7254,fox
9234,wolf
5385,bear
1791,bear
3467,fox
865,fox
4053,russian
8181,fox
2209,wolf
