name,train_station
North Carolyn,0
Abbottchester,0
Cynthiaburgh,0
East Isaac,1
Moorebury,0
Lake Kimberlymouth,0
East Michelleville,1
Tonistad,1
New Alisonstad,1
South Timothyburgh,0
South Zacharyburgh,1
Port Janice,1
Millerborough,0
North Kimshire,1
Troyfurt,0
South Scotthaven,1
Kellyview,1
Parkertown,1
Lake Racheltown,1
Meaganstad,1
West Ronald,0
Lake Chelsea,0
North Shelly,1
East Jamiemouth,0
Port Carrietown,1
Jasonshire,0
Dominiqueberg,1
North Hannahbury,1
Lake Patrickport,0
Donaldhaven,0
Carolynland,0
Crawfordchester,1
Wilsonberg,0
Thomasshire,0
Coxmouth,0
Howellfort,0
Jenniferstad,0
Obrienview,0
New Danielburgh,1
North John,1
West Jasmine,0
East Richardview,0
North Heidi,0
Simsfort,0
Port Kaitlin,1
Huntborough,0
East Reginaldhaven,1
Garciamouth,1
North Shannon,0
West Markmouth,0
Katiebury,0
New Toddchester,0
West Danny,1
Port Danielview,1
North Daniellebury,0
Anthonybury,1
South Jennifer,1
East Johnport,0
New Samuelburgh,1
South Andreaberg,1
North Paul,1
East Juliestad,1
Wardberg,0
South Amandaview,0
North Nina,0
Lake Tamaratown,1
Navarrofurt,1
Jessicaton,1
Lunabury,1
Davisport,0
Humphreyview,0
North Kimberlyton,0
Lake Kimberlyburgh,0
Beckerhaven,1
East Jerryland,0
South Sandra,0
Paulview,0
North Stephanieside,1
Cookberg,0
Mcclainville,1
Randyside,1
Schaeferland,1
Pruittstad,0
Christensenland,0
North Timothyton,0
South Yvonne,0
New Rodneyville,1
New Paul,1
Kevinhaven,0
East Hayley,0
Emilystad,1
West Michaelland,1
Franciscofort,0
Sheltonview,1
Richardfort,0
New John,0
North Kristen,0
New Danielshire,0
North Ricky,1
West Kellyburgh,1
Victorview,0
Zacharyhaven,0
New Billy,0
West Joseph,0
South Jason,1
Jessicastad,0
Richardchester,1
South Lisa,1
North Christine,1
North Lindaview,1
Brittanyborough,0
Port Patriciashire,1
Christopherberg,0
West Erinside,0
South David,1
Joshuaburgh,0
Millerville,0
Lopezside,1
Johnville,0
Gutierrezfort,0
New Vanessa,0
Mezaberg,1
South Michelle,0
Lake Jessestad,1
New Danielhaven,1
Velezmouth,0
West Gabrielleton,1
Anthonyshire,1
North Jeanette,0
Diazfort,0
Washingtonton,0
Dianeton,1
Mossberg,0
Simmonsland,0
Lozanoburgh,1
West Spencer,1
Randallport,1
Lake Susanfurt,0
Beasleymouth,0
New Robertfurt,1
New Jennaville,1
Ruiztown,1
Molinatown,1
Caitlinbury,0
Lake Savannah,0
Zimmermanfurt,1
Hallland,0
New Meganton,1
Smallmouth,0
Matthewsbury,1
Lake Christina,1
Port Edwardhaven,0
Youngside,1
Cameronberg,0
New Amber,0
North Mitchell,1
Port Davidtown,0
New Sandra,1
Richardmouth,1
North Jessica,0
Dennismouth,1
New Margaretfort,1
Sandovalchester,0
New Josephshire,0
Alicefort,0
Duarteview,1
New Andreastad,1
North Vanessaberg,1
Piercebury,1
Isabellafurt,0
Ryanton,1
Lake Brandontown,1
Stephanieland,0
Michaelchester,0
Feliciamouth,1
Lake Michaelbury,0
Lake Nathan,0
Lisafurt,1
Chasemouth,0
East Anthony,0
Port Meghan,0
Watsonstad,0
North Tiffany,0
South Dillon,1
Josephfort,1
Matthewton,1
Ambermouth,0
Port Keith,0
South Heidi,1
Morrisonburgh,0
Adamsfurt,1
Fraziershire,0
Bradleyhaven,0
Hatfieldport,0
North Jillstad,1
New Tina,1
Johnstad,1
New Jasonland,1
Lake Veronica,0
Charleshaven,0
Andersonfort,0
Waltersborough,1
South Yvette,0
North Deanna,0
New Wanda,1
Lake Stephanie,0
Lake Kyletown,1
Elliottburgh,0
Victorialand,1
New Becky,0
Lake Ashley,0
West Anitaport,0
New Brian,1
Kellershire,0
Jamesfurt,1
West Richardside,0
Johnsonberg,0
East Anthonyhaven,1
North Kellyborough,1
Sabrinastad,0
New Johnport,0
Collinstown,1
West Kimberlyside,1
North Denise,1
East Susan,1
Bergerberg,1
Port Michele,0
Daltonmouth,0
Reesemouth,0
Barnesfort,0
Lake Jodimouth,0
Port Lesliebury,0
Lisahaven,1
Harrisberg,0
New Haroldstad,0
South Joshua,0
Dennisborough,0
West Matthewchester,1
Lake Donport,0
Richardsonberg,0
Buckleyberg,1
Woodstad,0
Johnsonborough,1
Williamchester,0
Turnermouth,1
Port Dennis,0
Port Briana,1
Lake Mark,1
Larryton,1
Kimmouth,0
Griffinbury,1
Chandlerberg,1
Lutzshire,0
North Pamelaland,1
West Jonathantown,0
Bryanbury,0
Sharonshire,1
Castroborough,1
Wattsside,1
South Kimberly,1
Rickyshire,1
Kevintown,1
Cookbury,0
North Sherry,1
Lake Theresa,0
Daltonfurt,0
Angelaland,0
North Samuel,0
Ryanport,1
Kathrynchester,0
West Isaiah,0
New Susan,1
North Nicolechester,1
Port Danielleshire,1
Matthewberg,1
West Heathermouth,0
Fisherburgh,0
Dominiquestad,0
Saraburgh,1
Hodgesberg,0
Port Travis,1
Porterberg,0
Dustinstad,1
New Geraldborough,1
Perezport,0
New Laura,0
Michaelstad,0
East Crystalberg,0
Michaelburgh,1
Crystalmouth,1
Lake Mitchellton,1
West Jason,0
New Sarah,1
Oliviabury,1
Jenniferchester,1
East Joseph,0
Port Alexabury,0
Lake Tammyshire,0
New David,0
Gallagherside,1
North Charles,0
Toddfurt,0
Blakeland,1
Lake Tracietown,0
West David,1
Orrside,1
North Sean,1
Simonchester,1
Lake Jeffery,0
Medinafort,1
Jordanshire,0
West Williammouth,0
Hillview,0
Michaelbury,1
Curryville,0
Heatherburgh,1
Lake Scott,0
Davidville,1
Colleenland,0
Nicholsborough,1
Tranmouth,1
North James,0
Tammyton,0
North Rebecca,1
North Robertchester,0
Traceymouth,0
Lake Samanthamouth,0
North Larryshire,1
Port Leslieside,1
West Howard,1
Gillport,1
Lambertshire,1
South Scott,1
Port Andrea,0
New Stacy,1
Ritaburgh,1
West Zacharyfort,0
New Andrew,0
Brandonburgh,1
Port Patrickview,0
Cynthiaview,0
Lake Heather,0
Richardston,0
New Alexisview,1
Harrischester,1
Codymouth,1
Kaylaside,0
Lake Rachelview,0
East Danielfurt,1
Sarahbury,0
Kimberlyborough,1
East Michaelport,0
New Mark,1
Victoriahaven,0
Tammieland,1
South Jeremy,1
Port Richard,1
Latoyamouth,0
Smithmouth,0
Clarkton,0
South Todd,1
Ashleymouth,0
North Carolynview,1
Vaughanfort,0
Johnstonbury,0
South Virginia,1
Tinahaven,1
Alvarezstad,1
Brandonmouth,1
Lake Anitafurt,0
South Kyle,1
New Stacey,1
Port Jamesberg,1
West Elizabethton,0
Davisshire,0
Lake Davidtown,1
Chanland,1
East Lisa,0
South Christopher,1
South Luis,0
New Sheilafort,0
Anthonyburgh,1
Lake Nathanbury,1
Chadburgh,1
Lake Jonathanborough,1
Wolfehaven,0
Frankburgh,1
Wilcoxfurt,1
Grantland,0
Lewisburgh,0
Davidfurt,1
Jennastad,1
East David,1
North Ginatown,0
New Deborahfurt,0
Adamville,1
Danielsshire,0
South Lauraborough,0
Port Crystal,0
North Nathaniel,0
Lake Gregory,1
Ellisland,0
Saundersstad,1
West Christopherside,0
Richardport,0
Ruizstad,1
Malonechester,0
Andrewstad,0
East Zachary,1
Warrenbury,0
Lewishaven,0
Kimberlyberg,1
Carlatown,1
South Matthewchester,0
West Tracy,0
Lake Gerald,1
Rogersville,0
Deckerville,1
Port Veronicafurt,1
Millerhaven,1
Lake Samantha,0
East Saraborough,1
East Robert,0
Longburgh,0
New Jamesborough,1
Port Robertchester,0
Michaelfurt,0
New Charlotte,1
Lake Tylerport,0
West Tylerbury,1
Lake Nicolemouth,1
Bensonmouth,0
East Denise,1
South Elizabeth,1
North Tarastad,0
Riosmouth,0
South Jonathanview,0
Port Michaelton,1
New Barbarabury,0
New Nicoleton,1
South Ethan,1
Mahoneyborough,0
Justinport,0
New Joshua,0
West Emilyfurt,1
Port Juan,1
Bryanport,0
Michaeltown,0
Lake Bradley,0
New Jonathanport,1
East Tyler,1
New Brittany,1
Susanhaven,0
Lewisstad,0
Mccarthymouth,0
West Ronaldton,1
Jamesview,0
East Kennethshire,0
Hinesmouth,0
Gregoryview,1
Donaldville,1
Williamsmouth,1
South Christina,0
Bryanville,1
Harrisonfort,1
Lake Jonathanberg,0
Mckeefurt,1
East Scottshire,0
New Terriberg,0
Lynnshire,0
East John,1
Jeanettestad,0
East Vanessa,0
Wilsonfurt,0
Port Davidton,1
East Timothyhaven,0
Ronaldstad,0
Reynoldsport,1
Belindaview,1
Ibarrastad,1
Lake Amyton,1
Juarezberg,0
Pennyton,1
South Marcus,1
North Jacquelinemouth,0
New Elizabeth,1
Robertbury,1
West Melissa,1
Port Codyport,1
Jeffreyport,1
Port Williamville,0
Port Spencerborough,1
North Chelseamouth,0
Pierceport,0
Lauriemouth,1
West Juanfurt,0
West Austinchester,0
Juliemouth,1
Singletonbury,1
South Michaelport,1
Hallville,1
West Carolineton,1
Rebeccashire,1
North Robin,1
West Benjaminshire,0
Port Margaretberg,1
Tiffanyside,1
Robertsberg,1
Rayfort,1
South Darryl,0
Thomasview,0
South Kenneth,0
Lake Bradbury,1
Maynardtown,0
Williamsbury,0
Donaldsonfort,1
Port Evan,0
East Kayla,1
Lake David,0
South Abigail,0
Rachelborough,1
Port Timothyville,1
Richardborough,1
West Erica,0
Ortizville,1
New Rebecca,1
Danielsfort,0
Smithbury,1
Denisebury,0
Kellerland,0
Lindastad,1
Kerrburgh,0
Christopherton,0
New Rebeccaburgh,1
Fisherberg,0
Toddton,1
Faulknershire,1
New Tyler,1
Port Catherine,1
Lake Michaeltown,0
Williamton,1
Barnetthaven,0
Terrichester,0
Duncanburgh,0
Jenniferville,1
Port Lukehaven,0
East Micheleville,1
North Aprilmouth,0
North Gregory,0
Caldwellmouth,0
West John,0
East Andrea,0
Sandersport,1
Ericland,1
Barneschester,0
New Autumn,0
New Kristen,0
Danielview,0
West Emilystad,1
West Patrick,0
East Sherry,0
Woodardbury,0
New Stevenport,1
Jennifermouth,1
North Stephenburgh,1
South Gabriel,1
New Samanthastad,1
Kristahaven,1
New Richardshire,1
Port Lisashire,0
New Jeremiah,0
Meltonhaven,0
Bensonville,0
North Rebeccashire,1
Port Josemouth,0
West Amber,1
West Anthonyside,1
South Emily,0
Blakestad,1
Lake Kristen,1
East Jacob,1
North Andrew,1
Petersonmouth,0
Beverlyfort,1
Benjaminstad,1
Clarkland,1
West Michaelborough,1
Terrimouth,1
North Cheyennetown,1
Connieland,0
Josestad,1
Lake Oliviaton,1
Parkburgh,0
West Taylorchester,1
Sullivanhaven,0
West Randy,1
Kimberlyland,1
Walkerside,0
South Josephborough,0
Christineton,1
Odonnellton,1
Stevenmouth,0
Rickhaven,1
Jamieville,0
Port Sandraville,0
Andersonchester,0
Johnsonside,0
West Jasonshire,1
Robertstad,0
South Vanessaville,0
Stevenfurt,0
Perezland,0
Port Jeanette,0
Willieshire,0
Abigailmouth,0
Port Michaelshire,0
South Ariana,1
Port Christopherborough,0
Lake Jennifer,0
North Shelbymouth,1
New Christineside,0
Allisonmouth,1
Lake Thomasfort,1
Leslieview,1
East Danny,1
East Kimberlyshire,0
Lake Meganmouth,1
Thomasburgh,1
Weaverbury,0
West Michaelfurt,0
Jesseberg,1
Gordonport,0
North Brendamouth,1
Vangside,1
West Ronnie,0
Lake Michelle,0
Lawsonborough,1
New Wesleytown,1
Alvarezfurt,0
East Gregory,1
Port Trevor,1
Lake Michaelhaven,0
South Hollychester,1
Lake Jasonchester,1
South Richardchester,0
East Lori,0
Elizabethtown,1
Lake Katieton,0
Port Jeffrey,1
Nancyton,1
West Heather,1
Zavalatown,1
West Caitlin,0
Lake Lisa,1
West Howardland,1
Port Kristina,0
New Rose,0
Jacquelinemouth,1
North Brianhaven,1
Justinburgh,0
Lawsonmouth,1
Donnafort,1
New Ryanmouth,1
South Erika,0
Charlesview,1
East Ashley,1
Dawnfort,0
Perryview,1
New Miguel,1
Angelamouth,0
Edgarburgh,0
West Denise,0
West Eric,1
Port Chad,0
Bradshawland,0
South Justinview,1
Gregorymouth,0
Hubbardshire,0
Port Michaelmouth,1
East Ruben,0
Erikton,1
Farleyhaven,0
North Ryan,1
West Rebecca,1
East Nicoleview,0
Erikberg,1
Tiffanyburgh,0
Rhodeston,1
Lewisville,0
Port Alexandermouth,0
Chelseamouth,1
West Nathanielport,1
Silvaville,1
East Kari,0
Susanshire,1
Diazfurt,1
Lake Caseyton,1
Parkerstad,1
Hernandezberg,0
Warnerton,0
Phillipville,1
Joshuaview,1
Martinhaven,1
Javiermouth,0
Richardfurt,0
Port Michaelville,0
South Sarah,1
Lake Aaron,1
New Stephanieview,0
Danielchester,0
North Stephanieshire,0
Howellhaven,0
Lake Susan,0
Janiceview,1
Hernandezmouth,1
Alyssaburgh,1
Susanport,0
Benjaminfort,0
Laneberg,0
Williamsfort,0
Johnstonfurt,0
New Brianborough,0
Port Dorothy,1
West Kyle,1
South Michaelville,0
Priceton,0
Hinesborough,0
North Kyle,0
West Erinport,0
Dennisberg,1
Colemanshire,0
West Jesse,0
West Bradley,0
Lopezland,0
Garrisonchester,1
Chavezland,1
West Nicole,0
Garciaberg,1
Brandyborough,0
Torresfurt,0
Sarahtown,0
Thomaschester,1
Russellland,1
Port Bethville,0
Danielbury,1
Danielfurt,1
West Ashleyberg,1
Bruceport,1
West Caroline,0
Davidshire,0
West Anthonyland,1
Lake Patriciaville,0
Scottville,1
Sallyhaven,1
Matthewport,1
Katieview,0
Jerrybury,1
Amberchester,0
Ericchester,1
Paulstad,0
West Teresa,0
Scottmouth,0
North Katherine,0
Margaretmouth,0
Johnshire,1
Walkerchester,0
Perezstad,1
Veronicamouth,1
North Josephton,1
North Victorside,0
Tylerborough,1
Edwardland,0
Michaelton,1
New Michaelburgh,0
Bowmanland,0
Christinahaven,1
New Bethany,1
Andrewfort,1
Wrightport,1
Port Jennifer,0
Hallburgh,0
New Steve,0
Kristinaborough,1
Port Deniseland,0
Erikachester,1
North Frankborough,0
Vanessahaven,0
West Karenchester,1
Brucefurt,0
Sherritown,1
Michelemouth,0
Christopherburgh,1
New Gina,0
Andersonburgh,1
North Anthonyview,1
South Cassandrastad,1
West Edwin,0
Bergertown,0
Port Williamside,0
Huynhborough,1
East Brittney,1
Aprilstad,1
Bradyberg,1
West Cheryl,1
West Michellehaven,1
Kingport,0
South Christopherbury,1
Jenniferhaven,0
East Larryshire,1
Port Alexisshire,1
Port Marie,0
North Danny,0
West Emily,1
West Makaylafurt,1
Rojashaven,1
Hannahhaven,0
Codyborough,0
Ericside,1
North Sheila,1
North Kimbury,0
Murrayshire,0
Johnfurt,1
North Marciatown,1
East Amandachester,0
Sabrinabury,0
Jasonmouth,0
Jamieburgh,1
Lake Gary,1
Lake Lori,0
Calhounton,0
Port Brianmouth,0
New Anthonyport,0
Lake Carla,0
West Alicia,0
Kellymouth,1
Garciaside,0
North Deniseberg,1
Erinfurt,1
Brownmouth,0
Rowefort,1
East Lisaland,1
Nicolestad,1
Lake Amandastad,0
New Jamiechester,1
Danieltown,1
East Danielmouth,1
Dustintown,0
Port Yolanda,1
Williamsshire,1
Monicashire,0
Port Pamelaview,1
East Shawnmouth,0
Alexandrachester,1
New Williamfurt,0
Lake Sabrinamouth,0
New Matthew,1
Nguyentown,1
New Edward,0
Escobarstad,1
Goodmanville,0
West Devinside,1
Lake Alexander,1
Jamesville,1
Ashleyhaven,1
Barbaramouth,1
Greenland,0
North Raymouth,1
Port Andresville,1
South Andrewside,1
Schwartzchester,0
Port Chadburgh,0
North Travis,1
East Chrisport,1
Taylorville,0
North Joechester,1
New Stanley,0
Atkinsontown,1
Charlesstad,1
South Audreybury,1
Justinshire,1
Victoriamouth,1
Larryfurt,1
New Christine,1
Port Cristianhaven,1
Floresbury,0
Woodport,1
South Mary,1
Crystalside,0
Millerburgh,1
New Kyliebury,1
Rebeccaberg,1
South Timothyberg,0
Gonzalesborough,0
West Alexshire,1
Annaburgh,1
Harperland,1
West Jorge,0
South Marie,1
East Williamland,0
Snydertown,1
Pierceland,1
Georgestad,1
Thomasland,1
North Zachary,0
Stephanieton,1
Lake Tammieton,0
Lake Robin,0
West Victor,1
Port Kevin,1
Lauramouth,1
Whiteborough,1
East Katherine,1
North Michael,1
Franklinbury,0
Reynoldstown,0
Heatherville,0
Port Craig,1
South Douglasville,0
East Erikchester,1
East Johnville,0
South Normanview,0
Port Joshua,1
North Troy,1
Catherinehaven,0
Meyerhaven,0
East Maryfurt,1
Grahamton,0
North Charlesside,1
Jasonborough,1
Port Elizabethtown,1
Ninahaven,1
New Karen,0
Crystalchester,0
New Luisstad,1
Suechester,1
East Crystal,0
Alecland,1
Perezside,0
Esteston,0
Port Michael,1
Silvafurt,1
East Jamesville,0
Jacksonville,1
South Gail,0
Port Victoriatown,1
Chadmouth,1
East Noahport,0
West Walterville,0
New Victoriaburgh,0
New Melanie,0
Jefferyport,1
Port Cindyshire,1
Morrischester,0
South Emilytown,0
Hannahland,0
Leblanctown,0
South Kirkchester,0
Williamsberg,1
Jasonbury,0
Port Chelsea,1
Port Toni,1
South Daniel,1
Lake Jillville,0
Lake Patricia,1
Lake Judyton,0
Jessefurt,0
New Colleen,0
Goodtown,0
West Linda,1
Amberfort,1
West Davidport,1
Padillaborough,1
New Anthonytown,1
Robinsonton,0
Port Timothychester,1
Lake Keithfort,1
New Lauraview,1
Melissabury,0
Lake Zachary,1
North Matthew,1
Lake Martin,1
Danielleview,0
Jonesside,1
North Jenniferville,0
Davidstad,1
Elizabethmouth,1
Johnsonchester,1
Darleneburgh,1
Lake Shawnbury,1
Katherinestad,0
Port Sarahmouth,0
Baileyview,0
Andrewview,1
North Kevinview,0
South Joelmouth,1
Murphyfurt,1
Lake Matthewburgh,0
West Ryanbury,1
Douglasburgh,0
West Melanie,1
New Anthonybury,1
Wigginsview,1
Taylorberg,1
New Scottberg,1
South Sean,0
East Randall,1
New Donnafort,0
Lauraport,1
Vegashire,1
North Ericmouth,1
Gordonhaven,0
Michaelland,0
Jessicamouth,1
Lake Dalefurt,1
Brandiville,1
New Margaret,0
Austintown,0
Port Carlafurt,0
North Thomasmouth,0
Mayoport,0
East Robertfurt,1
Lake Pamela,0
Lake Maureen,0
Port Sherry,1
Joneshaven,0
New Erinport,0
Port David,0
New Cherylport,0
Tammieview,1
Foxmouth,1
East Dorothy,0
New Leslie,1
Lunaberg,1
South Tammy,1
Schaeferhaven,1
West Gregory,1
Robertville,1
Bakerburgh,0
West Oscarstad,1
Carolbury,0
Toniton,1
North Jeffery,0
Turnerborough,0
South Kaylaberg,0
East Michaelberg,1
Lake Jeffrey,0
Craigtown,1
West Sabrina,0
Marksmouth,0
Victoriafurt,1
Harrisonside,1
Port Bradley,0
Davidborough,1
Phillipsbury,0
New Jesseshire,0
South James,0
Emilyhaven,1
West Mary,0
Reidchester,0
East Sonyabury,0
South Jay,1
Normaville,0
Lake April,1
South Cindyville,0
Wellsburgh,0
Karenchester,1
Barrtown,1
South Jacob,0
Dwayneview,1
New Tammyhaven,1
Sanchezberg,0
Catherinebury,1
Kingview,0
Jacquelinechester,1
Jonesland,0
East Williamview,1
Susanfurt,1
Matthewston,0
Reyesborough,0
East Leslieport,0
New Jessicastad,1
Barbarahaven,1
Nunezmouth,0
Shaneland,0
Hayesberg,1
Holdenfurt,1
Debbieland,1
North Annahaven,1
Ramirezside,1
Alyssabury,1
Nelsontown,0
Johnsonfort,1
Dustinberg,1
Toddchester,0
Bradleyport,1
East William,1
Port Martin,1
Mitchellfurt,1
Hectorport,1
Lake Todd,0
Romeroshire,1
Port Carol,1
South Timothyborough,0
Nicoleburgh,0
Port Jeremiahberg,1
Lake Travisland,0
West Joannebury,1
Millerside,0
South Michellemouth,1
Johnsonstad,0
Lopezmouth,0
New Katrina,1
North Bobby,0
Lake Rebecca,0
Lake Justinhaven,0
East Steven,0
North Sarahland,1
Norrisfurt,0
East Veronicafort,0
Lake Donna,0
Graymouth,0
North Jasonbury,0
East Rachel,1
Christinebury,0
New Jeanetteshire,0
Patrickshire,0
Port Annaberg,1
Lake Brendastad,0
West Kara,0
Lake Paula,0
Markland,1
East Phillip,0
New William,1
Kramerborough,1
Lake Alice,0
West Catherinebury,1
South Tylerfort,0
Harriston,1
South Jamiemouth,1
North Amandafort,0
New Todd,1
Lake Andreaside,1
Lake Joseborough,0
South Kevinbury,1
Davischester,1
New Jesseland,0
East Jeffery,1
Hannahmouth,0
New Eric,1
East Jamesshire,1
East Mike,0
Loritown,0
East Jennifer,0
Valeriechester,0
New Monica,1
Lake Jacob,1
Andresfort,1
Sandersside,0
Port Samanthamouth,1
Wendyhaven,0
Kristinashire,1
South Carol,1
Burnshaven,0
Zimmermanport,1
Taraport,1
Englishberg,1
Lucasberg,1
Port Markport,0
Taylorfurt,0
Rebeccachester,1
Lisamouth,0
West Michaelchester,1
West Danahaven,1
East Laurashire,1
Victoriafort,1
West Jamieland,0
Joton,0
Port Alexander,0
Williamberg,1
Racheltown,1
Port Connie,1
East Debra,0
Joside,0
Port Dillon,0
Michelefurt,1
Kennethville,0
Kimberlychester,1
Mckayview,1
West Donnatown,0
West Barbara,1
North Stephanieview,1
West Stephen,1
South Martin,1
Alexland,1
South Scottburgh,1
Latoyaview,0
Port Walterburgh,1
Armstrongside,0
North Derek,0
Martinezport,0
Johnsonburgh,1
Deborahhaven,0
Christyborough,0
Blankenshipview,0
Singletonchester,1
Matthewchester,0
Prestonfort,0
New Arthurburgh,0
North Colleenland,1
New Christopherville,0
East Russellbury,1
New Tammyton,0
Lake Laura,0
Lopezhaven,1
Jeffreystad,0
South Jacquelineland,0
Holtshire,0
South Michaelland,0
Blankenshipmouth,0
Lake Justinville,1
Millertown,0
Port Kristenburgh,0
Port Douglas,1
South Nathanielhaven,0
Dominguezside,0
New Henryburgh,1
Jacquelineview,1
South Savannahview,1
Alexanderbury,1
Ortizchester,1
Ricechester,1
North Robertport,1
Martinshire,0
East Yvette,1
Allenchester,1
Williamhaven,0
Shawport,1
Ryanville,1
Lake Timothy,1
Barreraside,0
Lake Ashleyside,1
Martinezton,0
Port Arianaborough,1
North Jonathan,0
South Megan,1
Bryanside,0
North Sharonton,1
Keithport,0
Jasonland,1
South Amyside,0
West Denniston,1
West Patricia,0
Christensenton,0
West Charlesport,1
Rogermouth,1
Bishopbury,0
Priceberg,1
South Michael,1
Edwardsborough,1
Joelshire,1
Ballfurt,1
North Jenniferland,1
Walkerhaven,1
South Laura,0
Elizabethville,1
Allenshire,1
Sergioberg,1
East Ravenmouth,0
Josephview,0
East Stephanie,1
Henryberg,1
Ellisstad,0
Alexanderfort,0
Padillatown,1
East Kaylaside,1
East Scottview,0
New Courtney,0
North Jacquelinetown,0
Burnsmouth,1
Howellberg,0
Lake Dawn,1
Manuelville,0
Gillburgh,1
Houstonport,0
Bryantbury,0
Lake Davidton,0
Kelleychester,1
Lake Jamesmouth,1
Maldonadohaven,1
Ramirezland,1
Lake Sharon,1
East Stephenhaven,0
Port Kevinville,1
Lake Steven,1
New Alexandra,1
Wendyport,1
Luisville,1
Matthewstad,0
South Troychester,1
Port Amyburgh,0
Allisonfort,0
Port Donnaville,0
Port Nancy,0
Schultzport,0
North Trevor,0
Port Samuel,0
Lake Jamesstad,0
Johnsonton,0
Daybury,1
Thomasfurt,1
Christopherfurt,1
New Tanya,1
Timothyshire,1
East Angela,0
Port Morgan,0
Howeshire,1
Beckfort,1
West Erik,0
Joestad,0
Jefferyview,1
Port Nicoleville,1
West Seanmouth,0
West Danielberg,0
Thompsonburgh,1
Orozcoport,0
Lozanochester,1
Lake Tannertown,0
North Sara,1
East Dawnville,0
Matthewfort,1
Washingtontown,0
Robinfort,0
Lake Nicholeshire,0
Sandratown,1
Port Allisonside,0
Port Justin,0
Sherryville,0
Hughesland,1
Lake Johnchester,1
Drakeside,1
East Bethanystad,1
Robertview,1
North Robert,0
East Jesseton,1
South Shirleyfurt,0
South Garybury,0
East Kayleeborough,0
East Craigside,0
South Shawn,0
Sonyaville,1
Lake Willie,0
Brennanchester,0
Melindabury,1
North Joshuashire,0
South Justin,0
Edwardsfort,1
South Adrian,0
Port Brookemouth,1
West Jamesstad,1
Debraport,1
Elizabethstad,0
East Danielle,0
Lake James,1
Baileyton,1
Madelinefort,0
Lindsayborough,0
Port Matthewton,0
Karatown,1
Keithhaven,0
Yeseniafurt,1
Devonmouth,0
West Donaldshire,0
Crawfordhaven,1
Maddoxchester,0
North Bridgetburgh,0
South Lindseyville,0
Lauraland,1
Lake Brittanyborough,0
Lake Andreashire,0
Port Rodney,1
Port Victoria,1
Friedmanview,1
Michaelhaven,1
Nicoleborough,1
